id,time,location,latitude,longitude,district,nature,status
1211372,2018-05-01 00:10:28,"5237 N 35TH ST,MKE",43.1127987,-87.95674149999999,4,TRBL W/SUBJ,Unable to Locate Complainant
1211378,2018-05-01 00:18:31,"5262 N 38TH ST,MKE",43.1133303,-87.9597934,4,PROPERTY DAMAGE,Service in Progress
1211384,2018-05-01 00:10:24,"3017-A N 28TH ST,MKE",43.0737821,-87.94879379999999,5,BATTERY,Unable to Locate Complainant
1211427,2018-05-01 00:18:46,"2483 W HADLEY ST,MKE",43.0695391,-87.9446813,5,PROPERTY DAMAGE,To be Filed
1211385,2018-05-01 00:09:30,"2912 N 5TH ST,MKE",43.071596,-87.9166855,5,SUSP PERS/AUTO,Unable to Locate Complainant
1211358,2018-05-01 00:06:30,"4450 N 58TH ST,MKE",43.0984092,-87.9850963,7,PROPERTY DAM-DV,Unable to Locate Complainant
1211428,2018-05-01 00:10:58,"3288 N 27TH ST,MKE",43.078937,-87.946861,5,CHILD CUSTODY,Unable to Locate Complainant
1211410,2018-05-01 00:04:57,"3006 S 27TH ST,MKE",42.990477,-87.9475489,6,CONVEY PROPERTY,Assignment Completed
1211360,2018-05-01 00:05:53,"3032 W BOBOLINK AV,MKE",43.124879,-87.9508819,4,THEFT,Service in Progress
1211388,2018-05-01 00:24:02,"4519 N 73RD ST,MKE",43.0996031,-88.0034786,7,ENTRY,Service in Progress
1211492,2018-05-01 00:52:44,"8976 N MICHELE ST,MKE",43.1822277,-88.03084419999999,4,NOISE NUISANCE,No Prosecution
1211393,2018-05-01 00:09:40,"4485 N TEUTONIA AV,MKE",43.0987224,-87.94401119999999,5,BATTERY DV,Unable to Locate Complainant
1211420,2018-05-01 00:43:36,"5099 N 107TH ST,MKE",43.1103488,-88.04579199999999,4,SUBJ WANTED,Unable to Locate Complainant
1211417,2018-05-01 00:12:41,"2440 N 12TH ST,MKE",43.06312080000001,-87.92666919999999,3,PROPERTY DAMAGE,Open Investigation
1211426,2018-05-01 00:41:25,"3128 N 16TH ST,MKE",43.0757237,-87.9309631,5,SUBJ WANTED,Advised/Referral
1211362,2018-05-01 00:14:27,"N 60TH ST / W CAPITOL DR,MKE",43.0903222,-87.9873341,7,RECK USE OF WEAP,Open Investigation
1211409,2018-05-01 00:05:36,"6205 N 84TH ST,MKE",43.1307969,-88.01607159999999,4,SUSP PERS/AUTO,Advised
1211529,2018-05-01 01:41:58,"1028 W NATIONAL AV,MKE",43.023452,-87.9248813,2,THEFT,Unable to Locate Complainant
1211366,2018-05-01 00:13:06,"5353 N 54TH ST,MKE",43.1150274,-87.98027599999999,4,TRBL W/SUBJ-DV,Service in Progress
1211376,2018-05-01 00:00:14,"2900 W OKLAHOMA AV,MKE",42.98957799999999,-87.950789,6,ENTRY AUTOS,To be Filed
1211468,2018-05-01 00:28:52,"5078 N 22ND ST,MKE",43.1099403,-87.93892729999999,7,TRBL W/SUBJ,Assignment Completed
1211357,2018-05-01 00:06:39,"1317 W MINERAL ST,MKE",43.0209007,-87.9285586,2,BATTERY DV,Service in Progress
1211380,2018-05-01 00:17:27,"9089 N 75TH ST,MKE",43.1830339,-88.0029369,4,ROBBERY ST ARM,Unable to Locate Complainant
1211364,2018-05-01 00:14:01,"N 43RD ST / W KIEHNAU AV,MKE",43.1368866,-87.96600540000001,4,ACC PI,Service in Progress
1211387,2018-05-01 00:03:46,"2854 N 33RD ST,MKE",43.0709345,-87.9549033,7,ENTRY-DV,Advised/Referral
1211355,2018-05-01 00:07:33,"4667 W LEON TR,MKE",43.0879795,-87.97205389999999,7,CALL FOR POLICE,Unable to Locate Complainant
1211418,2018-05-01 00:07:30,"2917 W BROWN ST,MKE",43.0561636,-87.95056579999999,3,TRBL W/SUBJ,Unable to Locate Complainant
1211348,2018-05-01 00:00:15,"5800 S 13TH ST,MKE",42.9393123,-87.9294881,6,PATROL,Assignment Completed
1211369,2018-05-01 00:12:12,"9402 W BECKETT AV,MKE",43.1177321,-88.0302328,4,TRBL W/SUBJ-DV,Service in Progress
1211375,2018-05-01 00:03:45,"3921 N HUMBOLDT BL,MKE",43.088746,-87.89980969999999,5,FIRE,Assignment Completed
1211359,2018-05-01 00:06:07,"N 17TH ST / W CENTER ST,MKE",43.06774679999999,-87.93377260000001,3,SHOOTING,Unable to Locate Complainant
1211386,2018-05-01 00:08:28,"1609 E NORTH AV,MKE",43.0598103,-87.8900283,1,SUSP PERS/AUTO,Advised
1211404,2018-05-01 00:31:05,"4661 N 38TH ST,MKE",43.1021131,-87.9605232,7,TRBL W/SUBJ,Assignment Completed
1211407,2018-05-01 00:14:06,"1522 W SCOTT ST,MKE",43.0192437,-87.9313208,2,CALL FOR POLICE,Advised
1211374,2018-05-01 00:09:31,"1944 W BURNHAM ST,MKE",43.0104844,-87.93798009999999,2,SHOTSPOTTER,Unable to Locate Complainant
1211398,2018-05-01 00:17:34,"N 46TH ST / W LISBON AV,MKE",43.0751087,-87.9710805,3,SUBJ WITH GUN,Unable to Locate Complainant
1211370,2018-05-01 00:11:54,"2950 N OAKLAND AV,MKE",43.0722108,-87.8875777,1,RECK USE OF WEAP,Advised
1211365,2018-05-01 00:13:39,"7277 W LAKEFIELD DR,MKE",42.9880401,-88.00361509999999,6,SUSP PERS/AUTO,Advised
